County,Income,State
Autauga,40484,AL
Baldwin,44079,AL
Barbour,33453,AL
Bibb,30022,AL
Blount,33707,AL
Bullock,27500,AL
Butler,35196,AL
Calhoun,36255,AL
Chambers,33758,AL
Cherokee,34371,AL
Chilton,33350,AL
Choctaw,37253,AL
Clarke,35448,AL
Clay,33230,AL
Cleburne,35298,AL
Coffee,42076,AL
Colbert,37602,AL
Conecuh,31616,AL
Coosa,30332,AL
Covington,34785,AL
Crenshaw,36832,AL
Cullman,38615,AL
Dale,35834,AL
Dallas,34955,AL
DeKalb,30982,AL
Elmore,40601,AL
Escambia,31842,AL
Etowah,36069,AL
Fayette,33996,AL
Franklin,32985,AL
Geneva,33958,AL
Greene,32156,AL
Hale,36043,AL
Henry,39459,AL
Houston,40878,AL
Jackson,35774,AL
Jefferson,52003,AL
Lamar,32803,AL
Lauderdale,36448,AL
Lawrence,33003,AL
Lee,36941,AL
Limestone,40381,AL
Lowndes,39483,AL
Macon,31938,AL
Madison,49650,AL
Marengo,38086,AL
Marion,32315,AL
Marshall,35005,AL
Mobile,37089,AL
Monroe,32754,AL
Montgomery,43074,AL
Morgan,38617,AL
Perry,30607,AL
Pickens,31799,AL
Pike,36225,AL
Randolph,31900,AL
Russell,32818,AL
St. Clair,36941,AL
Shelby,52406,AL
Sumter,32437,AL
Talladega,33909,AL
Tallapoosa,39724,AL
Tuscaloosa,37407,AL
Walker,38614,AL
Washington,35512,AL
Wilcox,31328,AL
Winston,34145,AL
Aleutians East Borough,59084,AK
Aleutians West Census Area,53010,AK
Anchorage Municipality,63532,AK
Bethel Census Area,42863,AK
Bristol Bay Borough,126725,AK
Denali Borough,78138,AK
Dillingham Census Area,59340,AK
Fairbanks North Star Borough,54497,AK
Haines Borough,59951,AK
Hoonah-Angoon Census Area,55045,AK
Juneau City and Borough,66367,AK
Kenai Peninsula Borough,49800,AK
Ketchikan Gateway Borough,65034,AK
Kodiak Island Borough,60891,AK
Kusilvak Census Area,30872,AK
Lake and Peninsula Borough,59760,AK
Matanuska-Susitna Borough,44803,AK
Nome Census Area,49983,AK
North Slope Borough,86588,AK
Northwest Arctic Borough,46033,AK
Petersburg Borough,63637,AK
Prince of Wales-Hyder Census Area,41420,AK
Sitka City and Borough,65745,AK
Skagway Municipality,76710,AK
Southeast Fairbanks Census Area,47802,AK
Valdez-Cordova Census Area,59622,AK
Wrangell City and Borough,44286,AK
Yakutat City and Borough,52812,AK
Yukon-Koyukuk Census Area,56357,AK
Apache,32845,AZ
Cochise,39294,AZ
Coconino,46266,AZ
Gila,38257,AZ
Graham,30391,AZ
Greenlee,36664,AZ
La Paz,31335,AZ
Maricopa,45573,AZ
Mohave,30865,AZ
Navajo,31213,AZ
Pima,41637,AZ
Pinal,29309,AZ
Santa Cruz,36392,AZ
Yavapai,37398,AZ
Yuma,34752,AZ
Arkansas,43376,AR
Ashley,33543,AR
Baxter,35293,AR
Benton,81533,AR
Boone,34333,AR
Bradley,38378,AR
Calhoun,32907,AR
Carroll,32990,AR
Chicot,34860,AR
Clark,34713,AR
Clay,33559,AR
Cleburne,36358,AR
Cleveland,38144,AR
Columbia,37104,AR
Conway,37012,AR
Craighead,35963,AR
Crawford,32076,AR
Crittenden,36589,AR
Cross,34106,AR
Dallas,32911,AR
Desha,35361,AR
Drew,35057,AR
Faulkner,35918,AR
Franklin,33102,AR
Fulton,27598,AR
Garland,38259,AR
Grant,36975,AR
Greene,33405,AR
Hempstead,31407,AR
Hot Spring,29628,AR
Howard,34352,AR
Independence,33558,AR
Izard,28838,AR
Jackson,32623,AR
Jefferson,33796,AR
Johnson,28716,AR
Lafayette,35108,AR
Lawrence,33534,AR
Lee,27174,AR
Lincoln,25489,AR
Little River,34547,AR
Logan,33395,AR
Lonoke,37686,AR
Madison,35934,AR
Marion,29581,AR
Miller,32577,AR
Mississippi,26139,AR
Monroe,31816,AR
Montgomery,29336,AR
Nevada,33148,AR
Newton,28297,AR
Ouachita,35209,AR
Perry,33750,AR
Phillips,29762,AR
Pike,31975,AR
Poinsett,30758,AR
Polk,29674,AR
Pope,33875,AR
Prairie,33271,AR
Pulaski,48838,AR
Randolph,32433,AR
St. Francis,27538,AR
Saline,40232,AR
Scott,30278,AR
Searcy,26884,AR
Sebastian,40280,AR
Sevier,30532,AR
Sharp,31610,AR
Stone,29452,AR
Union,43836,AR
Van Buren,30426,AR
Washington,38883,AR
White,33881,AR
Woodruff,34945,AR
Yell,32189,AR
Alameda,71282,CA
Alpine,65673,CA
Amador,43679,CA
Butte,43287,CA
Calaveras,47384,CA
Colusa,48056,CA
Contra Costa,76527,CA
Del Norte,36179,CA
El Dorado,64673,CA
Fresno,41470,CA
Glenn,46626,CA
Humboldt,46722,CA
Imperial,36206,CA
Inyo,59744,CA
Kern,38560,CA
Kings,35326,CA
Lake,41443,CA
Lassen,36686,CA
Los Angeles,58419,CA
Madera,38799,CA
Marin,124552,CA
Mariposa,50772,CA
Mendocino,47646,CA
Merced,38716,CA
Modoc,45338,CA
Mono,51631,CA
Monterey,54395,CA
Napa,71174,CA
Nevada,59715,CA
Orange,65400,CA
Placer,63515,CA
Plumas,51302,CA
Riverside,39261,CA
Sacramento,50197,CA
San Benito,51343,CA
San Bernardino,38816,CA
San Diego,57913,CA
San Francisco,119868,CA
San Joaquin,42822,CA
San Luis Obispo,55328,CA
San Mateo,113410,CA
Santa Barbara,59460,CA
Santa Clara,98032,CA
Santa Cruz,64028,CA
Shasta,44691,CA
Sierra,44584,CA
Siskiyou,43735,CA
Solano,49116,CA
Sonoma,60286,CA
Stanislaus,42793,CA
Sutter,43385,CA
Tehama,40016,CA
Trinity,38963,CA
Tulare,39756,CA
Tuolumne,46571,CA
Ventura,59178,CA
Yolo,52289,CA
Yuba,39525,CA
Adams,41215,CO
Alamosa,35721,CO
Arapahoe,56642,CO
Archuleta,39944,CO
Baca,42019,CO
Bent,26417,CO
Boulder,68027,CO
Broomfield,63596,CO
Chaffee,43773,CO
Cheyenne,57212,CO
Clear Creek,56672,CO
Conejos,34726,CO
Costilla,32753,CO
Crowley,19443,CO
Custer,38008,CO
Delta,37475,CO
Denver,69862,CO
Dolores,34214,CO
Douglas,71208,CO
Eagle,70384,CO
Elbert,55187,CO
El Paso,46511,CO
Fremont,33422,CO
Garfield,55305,CO
Gilpin,45531,CO
Grand,46013,CO
Gunnison,44365,CO
Hinsdale,49480,CO
Huerfano,41138,CO
Jackson,46248,CO
Jefferson,60398,CO
KIA,53959,CO
Kit Carson,39016,CO
Lake,34668,CO
La Plata,52759,CO
Larimer,50539,CO
Las Animas,38119,CO
Lincoln,28330,CO
Logan,48521,CO
Mesa,41503,CO
Mineral,66047,CO
Moffat,39007,CO
Montezuma,40336,CO
Montrose,37658,CO
Morgan,43632,CO
Otero,37214,CO
Ouray,56335,CO
Park,42703,CO
Phillips,47637,CO
Pitkin,143812,CO
Prowers,41247,CO
Pueblo,37231,CO
Rio Blanco,44189,CO
Rio Grande,45544,CO
Routt,73200,CO
Saguache,30134,CO
San Juan,47138,CO
San Miguel,77106,CO
Sedgwick,52363,CO
Summit,64446,CO
Teller,47030,CO
Washington,41019,CO
Weld,44080,CO
Yuma,55197,CO
Fairfield,110104,CT
Hartford,61664,CT
Litchfield,62461,CT
Middlesex,65704,CT
New Haven,54543,CT
New London,56725,CT
Tolland,54818,CT
Windham,45553,CT
Kent,40304,DE
New Castle,53577,DE
Sussex,47324,DE
Alachua,42280,FL
Baker,30804,FL
Bay,42476,FL
Bradford,32685,FL
Brevard,43592,FL
Broward,48680,FL
Calhoun,26108,FL
Charlotte,40557,FL
Citrus,37379,FL
Clay,42386,FL
Collier,87829,FL
Columbia,33973,FL
DeSoto,24040,FL
Dixie,26467,FL
Duval,44347,FL
Escambia,40855,FL
Flagler,43444,FL
Franklin,34447,FL
Gadsden,33383,FL
Gilchrist,33266,FL
Glades,22617,FL
Gulf,33665,FL
Hamilton,25192,FL
Hardee,27559,FL
Hendry,30190,FL
Hernando,36161,FL
Highlands,33446,FL
Hillsborough,44709,FL
Holmes,29242,FL
Indian River,73274,FL
Jackson,30660,FL
Jefferson,40762,FL
Lafayette,24767,FL
Lake,40541,FL
Lee,49764,FL
Leon,42862,FL
Levy,34614,FL
Liberty,23311,FL
Madison,30470,FL
Manatee,45880,FL
Marion,35864,FL
Martin,79104,FL
Miami-Dade,46048,FL
Monroe,83328,FL
Nassau,55594,FL
Okaloosa,47433,FL
Okeechobee,30203,FL
Orange,42541,FL
Osceola,32096,FL
Palm Beach,74754,FL
Pasco,38911,FL
Pinellas,50630,FL
Polk,34213,FL
Putnam,31057,FL
St. Johns,64177,FL
St. Lucie,38835,FL
Santa Rosa,42909,FL
Sarasota,61523,FL
Seminole,46231,FL
Sumter,43464,FL
Suwannee,32644,FL
Taylor,29298,FL
Union,20396,FL
Volusia,40658,FL
Wakulla,35129,FL
Walton,56076,FL
Washington,28676,FL
Appling,31731,GA
Atkinson,28070,GA
Bacon,32310,GA
Baker,34137,GA
Baldwin,32176,GA
Banks,34749,GA
Barrow,35164,GA
Bartow,37362,GA
Ben Hill,30247,GA
Berrien,29406,GA
Bibb,40031,GA
Bleckley,32704,GA
Brantley,26861,GA
Brooks,33571,GA
Bryan,50887,GA
Bulloch,30522,GA
Burke,34330,GA
Butts,32199,GA
Calhoun,24527,GA
Camden,34854,GA
Candler,29172,GA
Carroll,36790,GA
Catoosa,34158,GA
Charlton,24442,GA
Chatham,44313,GA
Chattahoochee,30857,GA
Chattooga,29621,GA
Cherokee,49067,GA
Clarke,32491,GA
Clay,29731,GA
Clayton,27289,GA
Clinch,35903,GA
Cobb,53300,GA
Coffee,30732,GA
Colquitt,31371,GA
Columbia,48009,GA
Cook,30632,GA
Coweta,44419,GA
Crawford,32597,GA
Crisp,30918,GA
Dade,33792,GA
Dawson,43380,GA
Decatur,35677,GA
DeKalb,47412,GA
Dodge,29806,GA
Dooly,28079,GA
Dougherty,34989,GA
Douglas,34147,GA
Early,38832,GA
Echols,26673,GA
Effingham,39545,GA
Elbert,34541,GA
Emanuel,31813,GA
Evans,33930,GA
Fannin,34110,GA
Fayette,60286,GA
Floyd,37204,GA
Forsyth,60110,GA
Franklin,35522,GA
Fulton,78794,GA
Gilmer,33648,GA
Glascock,32611,GA
Glynn,42673,GA
Gordon,33731,GA
Grady,32547,GA
Greene,52044,GA
Gwinnett,39856,GA
Habersham,32867,GA
Hall,41219,GA
Hancock,27998,GA
Haralson,35016,GA
Harris,45802,GA
Hart,36087,GA
Heard,30422,GA
Henry,37821,GA
Houston,41365,GA
Irwin,30230,GA
Jackson,41151,GA
Jasper,36270,GA
Jeff Davis,28634,GA
Jefferson,32593,GA
Jenkins,28073,GA
Johnson,24786,GA
Jones,36373,GA
Lamar,32483,GA
Lanier,26116,GA
Laurens,35729,GA
Lee,45096,GA
Liberty,34465,GA
Lincoln,35808,GA
Long,25838,GA
Lowndes,35950,GA
Lumpkin,35110,GA
McDuffie,35274,GA
McIntosh,28534,GA
Macon,30119,GA
Madison,35225,GA
Marion,28219,GA
Meriwether,34049,GA
Miller,38798,GA
Mitchell,33707,GA
Monroe,43125,GA
Montgomery,28994,GA
Morgan,47123,GA
Murray,29243,GA
Muscogee,42483,GA
Newton,32548,GA
Oconee,61379,GA
Oglethorpe,36773,GA
Paulding,36243,GA
Peach,36582,GA
Pickens,45717,GA
Pierce,34240,GA
Pike,38728,GA
Polk,31639,GA
Pulaski,28776,GA
Putnam,39996,GA
Quitman,29036,GA
Rabun,40292,GA
Randolph,30910,GA
Richmond,36309,GA
Rockdale,34317,GA
Schley,30241,GA
Screven,32673,GA
Seminole,39506,GA
Spalding,33787,GA
Stephens,37709,GA
Stewart,22508,GA
Sumter,34174,GA
Talbot,34810,GA
Taliaferro,33003,GA
Tattnall,27503,GA
Taylor,29213,GA
Telfair,20748,GA
Terrell,39175,GA
Thomas,41480,GA
Tift,35819,GA
Toombs,34337,GA
Towns,35014,GA
Treutlen,28750,GA
Troup,36335,GA
Turner,33218,GA
Twiggs,37713,GA
Union,34545,GA
Upson,34885,GA
Walker,31929,GA
Walton,38871,GA
Ware,32734,GA
Warren,32824,GA
Washington,34161,GA
Wayne,30427,GA
Webster,31190,GA
Wheeler,19220,GA
White,33262,GA
Whitfield,37351,GA
Wilcox,25934,GA
Wilkes,38698,GA
Wilkinson,35452,GA
Worth,32231,GA
Hawaii,40188,HI
Honolulu,56728,HI
Kauai,46596,HI
Maui + Kalawao,47226,HI
Ada,49900,ID
Adams,36851,ID
Bannock,36987,ID
Bear Lake,37634,ID
Benewah,35520,ID
Bingham,35535,ID
Blaine,102546,ID
Boise,43549,ID
Bonner,39310,ID
Bonneville,45413,ID
Boundary,34576,ID
Butte,37885,ID
Camas,37216,ID
Canyon,31370,ID
Caribou,38020,ID
Cassia,44132,ID
Clark,38562,ID
Clearwater,34454,ID
Custer,42868,ID
Elmore,36239,ID
Franklin,34781,ID
Fremont,35638,ID
Gem,36225,ID
Gooding,56256,ID
Idaho,32369,ID
Jefferson,33779,ID
Jerome,38279,ID
Kootenai,42224,ID
Latah,39575,ID
Lemhi,40056,ID
Lewis,44577,ID
Lincoln,34342,ID
Madison,25132,ID
Minidoka,37706,ID
Nez Perce,42487,ID
Oneida,34831,ID
Owyhee,35410,ID
Payette,38509,ID
Power,36969,ID
Shoshone,35285,ID
Teton,37314,ID
Twin Falls,38291,ID
Valley,46550,ID
Washington,34313,ID
Adams,44373,IL
Alexander,33018,IL
Bond,34664,IL
Boone,44908,IL
Brown,32435,IL
Bureau,41781,IL
Calhoun,39253,IL
Carroll,42827,IL
Cass,39779,IL
Champaign,43584,IL
Christian,39651,IL
Clark,39888,IL
Clay,37030,IL
Clinton,44533,IL
Coles,38902,IL
Cook,59238,IL
Crawford,44838,IL
Cumberland,41388,IL
DeKalb,38827,IL
De Witt,44888,IL
Douglas,47450,IL
DuPage,69323,IL
Edgar,40477,IL
Edwards,39128,IL
Effingham,47738,IL
Fayette,33229,IL
Ford,49695,IL
Franklin,36093,IL
Fulton,35542,IL
Gallatin,44166,IL
Greene,34809,IL
Grundy,49070,IL
Hamilton,42710,IL
Hancock,43118,IL
Hardin,35344,IL
Henderson,41507,IL
Henry,44544,IL
Iroquois,41365,IL
Jackson,35634,IL
Jasper,42052,IL
Jefferson,37438,IL
Jersey,39459,IL
Jo Daviess,46903,IL
Johnson,32881,IL
Kane,48975,IL
Kankakee,39862,IL
Kendall,47433,IL
Knox,37983,IL
Lake,76227,IL
LaSalle,42582,IL
Lawrence,28574,IL
Lee,40333,IL
Livingston,41727,IL
Logan,35702,IL
McDonough,36563,IL
McHenry,53562,IL
McLean,47578,IL
Macon,45701,IL
Macoupin,38639,IL
Madison,44768,IL
Marion,39935,IL
Marshall,43248,IL
Mason,39789,IL
Massac,36835,IL
Menard,43597,IL
Mercer,43994,IL
Monroe,55612,IL
Montgomery,35107,IL
Morgan,39429,IL
Moultrie,52624,IL
Ogle,44226,IL
Peoria,48263,IL
Perry,35117,IL
Piatt,50003,IL
Pike,39896,IL
Pope,28262,IL
Pulaski,36215,IL
Putnam,55001,IL
Randolph,34989,IL
Richland,40424,IL
Rock Island,44155,IL
St. Clair,42923,IL
Saline,38690,IL
Sangamon,46325,IL
Schuyler,41117,IL
Scott,38362,IL
Shelby,37745,IL
Stark,40153,IL
Stephenson,41144,IL
Tazewell,45096,IL
Union,41756,IL
Vermilion,37387,IL
Wabash,42812,IL
Warren,39006,IL
Washington,46795,IL
Wayne,38059,IL
White,45742,IL
Whiteside,42290,IL
Will,50638,IL
Williamson,42787,IL
Winnebago,41682,IL
Woodford,49474,IL
Adams,36934,IN
Allen,44525,IN
Bartholomew,47804,IN
Benton,38447,IN
Blackford,36482,IN
Boone,71102,IN
Brown,44905,IN
Carroll,40642,IN
Cass,37077,IN
Clark,42121,IN
Clay,36801,IN
Clinton,36608,IN
Crawford,32141,IN
Daviess,39707,IN
Dearborn,45298,IN
Decatur,40820,IN
DeKalb,41622,IN
Delaware,35762,IN
Dubois,53825,IN
Elkhart,44143,IN
Fayette,39072,IN
Floyd,54129,IN
Fountain,37635,IN
Franklin,44500,IN
Fulton,40098,IN
Gibson,43653,IN
Grant,37921,IN
Greene,37575,IN
Hamilton,71377,IN
Hancock,48381,IN
Harrison,40212,IN
Hendricks,47699,IN
Henry,36530,IN
Howard,40135,IN
Huntington,39650,IN
Jackson,41263,IN
Jasper,41653,IN
Jay,36333,IN
Jefferson,40508,IN
Jennings,37421,IN
Johnson,46517,IN
Knox,42473,IN
Kosciusko,45177,IN
Lagrange,38697,IN
Lake,43099,IN
LaPorte,40253,IN
Lawrence,38879,IN
Madison,36691,IN
Marion,50957,IN
Marshall,40335,IN
Martin,37462,IN
Miami,33041,IN
Monroe,39880,IN
Montgomery,38940,IN
Morgan,42324,IN
Newton,36856,IN
Noble,37186,IN
Ohio,38856,IN
Orange,36195,IN
Owen,38093,IN
Parke,35097,IN
Perry,36121,IN
Pike,39153,IN
Porter,49586,IN
Posey,46613,IN
Pulaski,41906,IN
Putnam,36189,IN
Randolph,36186,IN
Ripley,39826,IN
Rush,43763,IN
St. Joseph,46118,IN
Scott,36397,IN
Shelby,42222,IN
Spencer,42290,IN
Starke,34014,IN
Steuben,40203,IN
Sullivan,33697,IN
Switzerland,28933,IN
Tippecanoe,36907,IN
Tipton,43567,IN
Union,36298,IN
Vanderburgh,44028,IN
Vermillion,37089,IN
Vigo,37308,IN
Wabash,40503,IN
Warren,41686,IN
Warrick,53549,IN
Washington,35873,IN
Wayne,39888,IN
Wells,40476,IN
White,41120,IN
Whitley,42715,IN
Adair,46459,IA
Adams,59530,IA
Allamakee,42852,IA
Appanoose,36161,IA
Audubon,43884,IA
Benton,49693,IA
Black Hawk,42187,IA
Boone,45854,IA
Bremer,46759,IA
Buchanan,43729,IA
Buena Vista,43713,IA
Butler,46419,IA
Calhoun,44667,IA
Carroll,50112,IA
Cass,44648,IA
Cedar,50064,IA
Cerro Gordo,50337,IA
Cherokee,57318,IA
Chickasaw,54448,IA
Clarke,39797,IA
Clay,47210,IA
Clayton,46549,IA
Clinton,42274,IA
Crawford,38373,IA
Dallas,62299,IA
Davis,33493,IA
Decatur,32453,IA
Delaware,47199,IA
Des Moines,47623,IA
Dickinson,55945,IA
Dubuque,45990,IA
Emmet,42459,IA
Fayette,41312,IA
Floyd,43932,IA
Franklin,47980,IA
Fremont,43111,IA
Greene,44895,IA
Grundy,50388,IA
Guthrie,49143,IA
Hamilton,46476,IA
Hancock,49114,IA
Hardin,47797,IA
Harrison,43283,IA
Henry,40583,IA
Howard,43608,IA
Humboldt,46930,IA
Ida,48870,IA
Iowa,50333,IA
Jackson,41956,IA
Jasper,40662,IA
Jefferson,37910,IA
Johnson,50136,IA
Jones,41808,IA
Keokuk,40419,IA
Kossuth,49266,IA
Lee,39040,IA
Linn,50479,IA
Louisa,38010,IA
Lucas,40185,IA
Lyon,55732,IA
Madison,46911,IA
Mahaska,39931,IA
Marion,45340,IA
Marshall,40906,IA
Mills,51217,IA
Mitchell,54542,IA
Monona,46483,IA
Monroe,40278,IA
Montgomery,39526,IA
Muscatine,45010,IA
O'Brien,55168,IA
Osceola,50513,IA
Page,39131,IA
Palo Alto,47624,IA
Plymouth,53746,IA
Pocahontas,44728,IA
Polk,51138,IA
Pottawattamie,42787,IA
Poweshiek,44591,IA
Ringgold,41707,IA
Sac,47227,IA
Scott,51612,IA
Shelby,48804,IA
Sioux,49363,IA
Story,39848,IA
Tama,43239,IA
Taylor,38996,IA
Union,37292,IA
Van Buren,37170,IA
Wapello,36700,IA
Warren,48468,IA
Washington,50351,IA
Wayne,40085,IA
Webster,42719,IA
Winnebago,41520,IA
Winneshiek,46269,IA
Woodbury,41202,IA
Worth,39471,IA
Wright,49661,IA
Allen,38253,KS
Anderson,37848,KS
Atchison,35619,KS
Barber,39718,KS
Barton,45222,KS
Bourbon,39604,KS
Brown,43352,KS
Butler,43964,KS
Chase,46007,KS
Chautauqua,39448,KS
Cherokee,37606,KS
Cheyenne,44248,KS
Clark,59001,KS
Clay,42548,KS
Cloud,37315,KS
Coffey,50407,KS
Comanche,43437,KS
Cowley,37203,KS
Crawford,35591,KS
Decatur,44177,KS
Dickinson,39510,KS
Doniphan,36542,KS
Douglas,41360,KS
Edwards,47917,KS
Elk,40225,KS
Ellis,43446,KS
Ellsworth,39492,KS
Finney,40272,KS
Ford,37429,KS
Franklin,40207,KS
Geary,45630,KS
Gove,54224,KS
Graham,43995,KS
Grant,47361,KS
Gray,67986,KS
Greeley,51650,KS
Greenwood,41444,KS
Hamilton,54707,KS
Harper,43570,KS
Harvey,40521,KS
Haskell,56037,KS
Hodgeman,45227,KS
Jackson,39574,KS
Jefferson,41753,KS
Jewell,46000,KS
Johnson,69977,KS
Kearny,53621,KS
Kingman,43024,KS
KIA,42384,KS
Labette,40043,KS
Lane,92559,KS
Leavenworth,41101,KS
Lincoln,40481,KS
Linn,34694,KS
Logan,45961,KS
Lyon,36364,KS
McPherson,47213,KS
Marion,43207,KS
Marshall,43790,KS
Meade,59533,KS
Miami,46231,KS
Mitchell,52899,KS
Montgomery,35172,KS
Morris,43460,KS
Morton,43997,KS
Nemaha,51162,KS
Neosho,37792,KS
Ness,52680,KS
Norton,40179,KS
Osage,39664,KS
Osborne,45402,KS
Ottawa,40002,KS
Pawnee,38307,KS
Phillips,48355,KS
Pottawatomie,53216,KS
Pratt,46856,KS
Rawlins,48529,KS
Reno,39343,KS
Republic,44049,KS
Rice,41642,KS
Riley,40974,KS
Rooks,37531,KS
Rush,42289,KS
Russell,43084,KS
Saline,47945,KS
Scott,65178,KS
Sedgwick,49101,KS
Seward,36873,KS
Shawnee,44834,KS
Sheridan,46736,KS
Sherman,38942,KS
Smith,43367,KS
Stafford,41697,KS
Stanton,49564,KS
Stevens,36020,KS
Sumner,39814,KS
Thomas,40874,KS
Trego,45878,KS
Wabaunsee,48957,KS
Wallace,51915,KS
Washington,44208,KS
Wichita,61745,KS
Wilson,43056,KS
Woodson,34012,KS
Wyandotte,32085,KS
Adair,29562,KY
Allen,31222,KY
Anderson,38407,KY
Ballard,36849,KY
Barren,35184,KY
Bath,29669,KY
Bell,28395,KY
Boone,45358,KY
Bourbon,43186,KY
Boyd,36954,KY
Boyle,36312,KY
Bracken,34728,KY
Breathitt,32512,KY
Breckinridge,33214,KY
Bullitt,39440,KY
Butler,33562,KY
Caldwell,33824,KY
Calloway,34273,KY
Campbell,46127,KY
Carlisle,42704,KY
Carroll,34715,KY
Carter,29783,KY
Casey,30446,KY
Christian,37622,KY
Clark,38608,KY
Clay,29924,KY
Clinton,30180,KY
Crittenden,33425,KY
Cumberland,33786,KY
Daviess,39933,KY
Edmonson,31494,KY
Elliott,22111,KY
Estill,30713,KY
Fayette,46753,KY
Fleming,32313,KY
Floyd,35137,KY
Franklin,41312,KY
Fulton,32258,KY
Gallatin,30286,KY
Garrard,33289,KY
Grant,34322,KY
Graves,36685,KY
Grayson,32168,KY
Green,33798,KY
Greenup,38285,KY
Hancock,34159,KY
Hardin,42204,KY
Harlan,29428,KY
Harrison,33751,KY
Hart,31319,KY
Henderson,38069,KY
Henry,36539,KY
Hickman,40895,KY
Hopkins,38097,KY
Jackson,27814,KY
Jefferson,49034,KY
Jessamine,43317,KY
Johnson,32255,KY
Kenton,55214,KY
Knott,29691,KY
Knox,28555,KY
Larue,35275,KY
Laurel,33096,KY
Lawrence,30585,KY
Lee,31422,KY
Leslie,31386,KY
Letcher,29549,KY
Lewis,29716,KY
Lincoln,30353,KY
Livingston,36412,KY
Logan,34478,KY
Lyon,34043,KY
McCracken,48797,KY
McCreary,24937,KY
McLean,38530,KY
Madison,34342,KY
Magoffin,29243,KY
Marion,34418,KY
Marshall,39039,KY
Martin,28740,KY
Mason,39056,KY
Meade,38225,KY
Menifee,29337,KY
Mercer,36079,KY
Metcalfe,30387,KY
Monroe,34888,KY
Montgomery,33733,KY
Morgan,26707,KY
Muhlenberg,33570,KY
Nelson,41941,KY
Nicholas,33170,KY
Ohio,31431,KY
Oldham,59412,KY
Owen,32578,KY
Owsley,30453,KY
Pendleton,44376,KY
Perry,36890,KY
Pike,34951,KY
Powell,31120,KY
Pulaski,35382,KY
Robertson,31885,KY
Rockcastle,30151,KY
Rowan,29866,KY
Russell,32691,KY
Scott,42144,KY
Shelby,42855,KY
Simpson,37491,KY
Spencer,42448,KY
Taylor,34074,KY
Todd,35889,KY
Trigg,36130,KY
Trimble,35041,KY
Union,31514,KY
Warren,36957,KY
Washington,35750,KY
Wayne,27494,KY
Webster,39143,KY
Whitley,32130,KY
Wolfe,30392,KY
Woodford,48906,KY
Acadia,35401,LA
Allen,32106,LA
Ascension,47679,LA
Assumption,42787,LA
Avoyelles,36626,LA
Beauregard,41218,LA
Bienville,35589,LA
Bossier,41655,LA
Caddo,44565,LA
Calcasieu,46491,LA
Caldwell,32861,LA
Cameron,45278,LA
Catahoula,33657,LA
Claiborne,33392,LA
Concordia,31881,LA
De Soto,38098,LA
East Baton Rouge,48771,LA
East Carroll,36206,LA
East Feliciana,41384,LA
Evangeline,32781,LA
Franklin,31348,LA
Grant,30971,LA
Iberia,37138,LA
Iberville,39045,LA
Jackson,32705,LA
Jefferson,48563,LA
Jefferson Davis,40176,LA
Lafayette,45892,LA
Lafourche,44192,LA
LaSalle,30624,LA
Lincoln,38032,LA
Livingston,38493,LA
Madison,31834,LA
Morehouse,37564,LA
Natchitoches,37325,LA
Orleans,49222,LA
Ouachita,39643,LA
Plaquemines,48666,LA
Pointe Coupee,42469,LA
Rapides,44588,LA
Red River,36840,LA
Richland,36473,LA
Sabine,32635,LA
St. Bernard,31482,LA
St. Charles,47299,LA
St. Helena,41512,LA
St. James,44911,LA
St. John the Baptist,38945,LA
St. Landry,39519,LA
St. Martin,36420,LA
St. Mary,37341,LA
St. Tammany,55656,LA
Tangipahoa,37814,LA
Tensas,35824,LA
Terrebonne,38958,LA
Union,37303,LA
Vermilion,37050,LA
Vernon,39306,LA
Washington,32799,LA
Webster,37179,LA
West Baton Rouge,45622,LA
West Carroll,35179,LA
West Feliciana,37005,LA
Winn,35191,LA
Androscoggin,39873,ME
Aroostook,39377,ME
Cumberland,58654,ME
Franklin,37315,ME
Hancock,49256,ME
Kennebec,43292,ME
Knox,49005,ME
Lincoln,48619,ME
Oxford,36239,ME
Penobscot,39885,ME
Piscataquis,36224,ME
Sagadahoc,49679,ME
Somerset,36426,ME
Waldo,38681,ME
Washington,38799,ME
York,49653,ME
Allegany,39320,MD
Anne Arundel,64648,MD
Baltimore,59130,MD
Calvert,60080,MD
Caroline,44832,MD
Carroll,60512,MD
Cecil,46059,MD
Charles,55231,MD
Dorchester,45141,MD
Frederick,59259,MD
Garrett,43824,MD
Harford,56564,MD
Howard,74938,MD
Kent,59466,MD
Montgomery,86136,MD
Prince George's,47365,MD
Queen Anne's,61995,MD
St. Mary's,54921,MD
Somerset,31327,MD
Talbot,71246,MD
Washington,45610,MD
Wicomico,40896,MD
Worcester,58191,MD
Baltimore City,49168,MD
Barnstable,70430,MA
Berkshire,54095,MA
Bristol,51298,MA
Dukes,88295,MA
Essex,64071,MA
Franklin,52332,MA
Hampden,49319,MA
Hampshire,50582,MA
Middlesex,79214,MA
Nantucket,119379,MA
Norfolk,86746,MA
Plymouth,64020,MA
Suffolk,73909,MA
Worcester,54891,MA
Alcona,36474,MI
Alger,32253,MI
Allegan,42406,MI
Alpena,39288,MI
Antrim,43615,MI
Arenac,36296,MI
Baraga,31211,MI
Barry,42745,MI
Bay,41024,MI
Benzie,40874,MI
Berrien,46133,MI
Branch,35200,MI
Calhoun,38683,MI
Cass,43379,MI
Charlevoix,48678,MI
Cheboygan,37539,MI
Chippewa,32459,MI
